Theme,Secondary Theme,Sectors,Subsectors,Activity,Activity Examples,Activity Type,Adaptation Likelihood,"Maladaptation or
Significant Harm Risk","Maladaptation or
Significant Harm Criteria",Cities Relevance,Gender Relevance,Mitigation Co-Benefit,Mitigation Co-Benefit Type,Heat Stress,Cold Stress,Water Stress,Storm Conditions,Flooding,Mass Movement,Wildfire Conditions,Marine Conditions,Commercial Banks,Asset Managers,PE & VC,SMEs,Pension Funds,International Insurers,Multinational Corporations,Domestic Corporations,Households & Consumers
Agri-Food Systems,Ecosystems,Agricultural Production,Crop Production,Pollination Management,"insect corridors, apiculture, wildflower meadows and hedgerows",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,X,X,,X,X,,,,X,,X,X,,X,X,X,X
Agri-Food Systems,Ecosystems,Agricultural Production,Crop Production,Resilient Soil Management,"organic inputs to soil, cover crops, tillage reduction, crop rotation, intercropping, crop diversification, crop residue management, urea deep placement, green manure, biochar, green charcoal, nitrogen-fixing perennials, composting",Product or Service,High,No,Not Applicable,No,No,Yes,Carbon Sequestration,X,X,X,X,X,,,,X,X,X,X,,X,X,X,X
Agri-Food Systems,Ecosystems,Agricultural Production,Crop Production,Terrain Management,"high-precision laser land leveling, terracing, geosynthetics",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,,,X,,X,X,X,,X,,X,X,,,X,X,X
Agri-Food Systems,Not Applicable,Agricultural Production,Crop Production,Wild Harvesting,"sustainable mushroom harvesting, wild medicinal plant harvesting, nontimber forest product (ntfp) collection",Product or Service,Low,Yes,9[SH]: Inhibiting Protection of Biodiversity and Ecosystems,Yes,Yes,Yes,Avoided Emissions,,,X,X,,X,X,,,,,X,,,,,X
Agri-Food Systems,Ecosystems,Agricultural Production,Fishery Production,Aquaculture,"climate resilient aquaculture infrastructure, reservoir-based aquaculture, aquaponics systems, enhanced aeration techniques for aquaculture, shellfish aquaculture",Product or Service,Low,Yes,8[SH]: Inhibiting Pollution Prevention,No,No,Yes,Avoided Emissions,X,X,,,,,,X,X,,X,X,,,X,X,X
Agri-Food Systems,Industry and Commerce,Agricultural Production,Fishery Production,Aquaculture Insurance,"insurance for extreme weather events for aquaculture, disease outbreak insurance for aquaculture, drought-related loss insurance for aquaculture, insurance for salinity changes for aquaculture",Enabling Activity,Low,Yes,4[M]: Inhibiting Necessary Change,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,X,,,
Agri-Food Systems,Industry and Commerce,Agricultural Production,Fishery Production,Fishery Production Automation,"automated feeding systems for fishery production, climate-resilient hatchery automation, robotic fish harvesting, automated water quality monitoring for fishery production",Product or Service,Low,Yes,8[SH]: Inhibiting Pollution Prevention,No,No,Yes,Avoided Emissions,X,X,,,X,X,X,X,X,X,X,X,,,X,X,
Agri-Food Systems,Industry and Commerce,Agricultural Production,Fishery Production,Wild Catch,"community fishing, climate-responsive commercial fishing ",Product or Service,Low,Yes,9[SH]: Inhibiting Protection of Biodiversity and Ecosystems,No,No,No,Not Applicable,,,X,X,,X,X,X,X,X,X,X,X,,X,X,X
Agri-Food Systems,Water and Sanitation,"Agri-Food Logistics, Processing & Retail",Agricultural Waste Management,Agricultural Waste Management Systems,"reinforced manure storage facilities, covered anaerobic digesters for agricultural waste management, flood-proof composting sites",Product or Service,Low,No,Not Applicable,No,No,Yes,Avoided Emissions,,,,X,X,,,,X,X,,,X,,X,X,
Agri-Food Systems,Industry and Commerce,"Agri-Food Logistics, Processing & Retail",Manufacture of Food & Beverage Products,Food Processing Risk Hardening,"fire suppression systems for food processing, backup power systems for food processing, temperature-controlled storage for food processing, pest-resistant construction for food processing",Product or Service,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,,,,X,,X,X,,X,X,X,
Agri-Food Systems,Industry and Commerce,"Agri-Food Logistics, Processing & Retail",Retail of Food Products,Agribusiness Marketplaces,"farming collectives, digital marketplace for agri-food products",Enabling Activity,Medium,No,Not Applicable,Yes,Yes,No,Not Applicable,X,X,X,X,X,X,X,X,,,,X,,,X,X,X
Agri-Food Systems,Industry and Commerce,"Agri-Food Logistics, Processing & Retail",Wholesale of Agricultural Produce,Agri-Food Cold-Chain Storage,"off-grid solar cold rooms for food systems, low-energy cold storage solutions for food systems, flood-proof  pre-cooling technologies at harvest, IoT-enabled cold-chain management for food systems, regional cold-chain partnerships for food systems",Product or Service,Medium,Yes,5[SH]: Inhibiting Climate Change Mitigation,No,No,No,Not Applicable,X,,,,,,,,X,X,X,X,X,,X,X,
Agri-Food Systems,Infrastructure,"Agri-Food Logistics, Processing & Retail",Wholesale of Agricultural Produce,Agri-Food Transport Risk Hardening,"emergency response protocols for crop transport, multi-modal transport systems for food systems, anti-contamination protocols during food transport",Product or Service,Medium,Yes,5[SH]: Inhibiting Climate Change Mitigation,No,No,No,Not Applicable,X,X,,X,X,X,X,,X,X,X,X,X,,X,X,
Agri-Food Systems,Industry and Commerce,"Agri-Food Logistics, Processing & Retail",Wholesale of Agricultural Produce,Food Storage Risk Hardening,"temperature-controlled food storage facilities, flood-proof grain storage, pest-resistant storage bags, moisture-controlled food storage in humid climates, multi-compartment crop storage silos",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,,X,X,X,X,,X,,X,X,,X,X,X,X
Agri-Food Systems,Social Systems,Policy & Capacity Building,Policy & Capacity Building,Agri-Food Systems Policy & Capacity Building,"climate-resilient agriculture policy, climate-smart village programs, climate-smart livestock policy, regional climate adaptation plans for agriculture, agro-climatic zoning",Enabling Activity,Medium,No,Not Applicable,No,Yes,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Ecosystems,Agri-Food Systems,Freshwater Ecology,Freshwater Ecosystem Entities,Freshwater Wildlife and Biodiversity Management,"freshwater invasive species control, freshwater species rehabilitation, establishment of corridors for freshwater species",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,,,,,X,,,X,X,X
Ecosystems,Water and Sanitation,Freshwater Ecology,Freshwater Ecosystem Entities,Groundwater Protection,"pollution controls for groundwater protection, groundwater recharge zones protection, groundwater watershed protection initiatives",Product or Service,Low,No,Not Applicable,Yes,No,No,Not Applicable,,,X,,,X,X,,X,,X,X,,X,X,X,X
Ecosystems,Water and Sanitation,Freshwater Ecology,Freshwater Ecosystem Entities,Riparian Protection,"sediment management for riparian systems, riverbank stabilization, streambank stabilization, fencing to protect riparian areas, native plant restoration in riparian zones, erosion control measures for riparian systems",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,,,,X,,,,X,X
Ecosystems,Water and Sanitation,Freshwater Ecology,Freshwater Ecosystem Entities,Surface Water Protection (excl. wetlands and rivers),"invasive species control for lakes, pollution controls for lakes, floodplain reconnection",Product or Service,Low,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,,,,X,,,,X,X
Ecosystems,Water and Sanitation,Freshwater Ecology,Freshwater Ecosystem Entities,Wetland Protection,"protection of sediment transport systems for wetlands, creation of tidal marshes, seagrass meadows protection, rewetting peatlands, promoting natural buffers for wetland protection",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Carbon Sequestration,X,X,X,X,X,X,X,,,,,X,,,X,X,
Ecosystems,Industry and Commerce,Freshwater Ecology,Freshwater Ecosystem Services,Freshwater Ecosystem Insurance,"catastrophe bonds for freshwater ecosystems, parametric insurance for riverine flooding, insurance for wetland restoration projects",Enabling Activity,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,,,,,,,X,,,
Ecosystems,Infrastructure,Freshwater Ecology,Freshwater Ecosystem Services,Freshwater Ecosystem Monitoring and Early Warning,"water quality monitoring systems for freshwater ecosystems, biodiversity monitoring for freshwater ecosystems, satellite hydro morphology monitoring, zebra mussels alerts",Intelligence,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,,,,X,X,,,X,X,
Ecosystems,Not Applicable,Marine Ecology,Marine Ecosystem Entities,Coastal Ecosystem Protection,"mangrove nurseries protection, coral reef restoration, erosion mitigation for coastal ecosystems",Product or Service,Medium,No,Not Applicable,Yes,Yes,Yes,Avoided Emissions,X,X,,X,,,X,X,,,X,X,,,,X,
Ecosystems,Agri-Food Systems,Marine Ecology,Marine Ecosystem Entities,Marine Wildlife and Biodiversity Management,"invasive species control for marine ecosystems, species rehabilitation for marine ecosystems, establishment of corridors for marine ecosystems, fishing quotas",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,X,X,,X,,,X,X,X,X,X,X,,X,X,X,X
Ecosystems,Not Applicable,Marine Ecology,Marine Ecosystem Entities,Non-Coastal (pelagic) Ocean Ecosystem Protection,"climate-responsive deep-sea mining, minimally intrusive seabed mining, gear restrictions for deep-sea fishing",Product or Service,Low,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,,X,,,,X,,,,X,,,,,
Ecosystems,Industry and Commerce ,Marine Ecology,Marine Ecosystem Services,Ocean Ecosystem Insurance,"parametric coral bleaching insurance, coral reef insurance, marine biodiversity offset insurance",Enabling Activity,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,,X,,,X,X,,,X,,,X,,,
Ecosystems,Infrastructure,Marine Ecology,Marine Ecosystem Services,Ocean Ecosystem Monitoring and Early Warning,"ocean temperature monitoring, ocean PH monitoring, smart buoy for early warning, coral disease warning system, ocean acidification monitoring, biological monitoring with indicator species for ocean ecosystems",Intelligence,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,,X,,,X,X,,,X,X,,,,X,
Ecosystems,Social Systems,Policy & Capacity Building,Policy & Capacity Building,Ecosystem Policy & Capacity Building,"national biodiversity strategies and action plans, environmental impact assessment (eia) legislation, payment for ecosystem services (pes) schemes, ecosystem service valuation in policy-making",Enabling Activity,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Ecosystems,Agri-Food Systems,Terrestrial Ecology,Terrestrial Ecosystem Entities,Afforestation,"planting trees in previously un-forested areas, desert afforestation, reforestation of degraded lands",Product or Service,Low,Yes,5[SH]: Inhibiting Climate Change Mitigation,No,No,Yes,Carbon Sequestration,X,,X,X,X,X,,,,,X,X,,,,,X
Ecosystems,Agri-Food Systems,Terrestrial Ecology,Terrestrial Ecosystem Entities,Forest Protection,"vegetation diversity for forest protection, avoided deforestation, erosion control for forest protection, forest terracing",Product or Service,Low,No,Not Applicable,No,No,Yes,Carbon Sequestration,X,X,X,X,X,X,X,,,,X,X,,,,X,
Ecosystems,Agri-Food Systems,Terrestrial Ecology,Terrestrial Ecosystem Entities,Grassland Protection,"reseeding of grasslands, prescribed burning of grasslands, grassland buffers, patch-burn grazing for grassland protection, soil aeration for grassland protection",Product or Service,Low,No,Not Applicable,No,No,Yes,Carbon Sequestration,X,X,X,X,X,X,X,,,,,X,,,,,
Ecosystems,Social Systems,Terrestrial Ecology,Terrestrial Ecosystem Entities,Nonstructural Terrestrial Ecosystem Protection,"landowner incentives for terrestrial ecosystem conservation, forest stewardship council, conservation easements for terrestrial ecosystems, ecotourism guidelines for terrestrial ecosystems",Enabling Activity,Low,No,Not Applicable,No,No,Yes,Carbon Sequestration,X,X,X,X,X,X,X,,,,,,,X,,,
Ecosystems,Agri-Food Systems,Terrestrial Ecology,Terrestrial Ecosystem Entities,Terrestrial Wildlife and Biodiversity Management,"invasive species control for terrestrial ecosystems, species rehabilitation for terrestrial ecosystems, establishment of corridors in grasslands",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,,,,,X,,,,X,X
Ecosystems,Health,Terrestrial Ecology,Terrestrial Ecosystem Entities,Wildfire Fire Management,"prescribed burning, forest thinning, firebreaks and fuel breaks, fuel reduction through grazing, fire-adapted community planning, fire-resilient landscape design",Product or Service,High,No,Not Applicable,Yes,No,Yes,Avoided Emissions,,,,,,,X,,X,X,X,X,,X,X,X,X
Ecosystems,Industry and Commerce,Terrestrial Ecology,Terrestrial Ecosystem Services,Terrestrial Ecosystem Insurance,"wildfire catastrophe insurance, parametric drought insurance for terrestrial ecosystems, parametric flood insurance for terrestrial ecosystems",Enabling Activity,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,,,,,,,X,,,
Ecosystems,Infrastructure,Terrestrial Ecology,Terrestrial Ecosystem Services,Terrestrial Ecosystem Monitoring and Early Warning,"land-use change monitoring of for terrestrial ecosystems, geospatial imaging for terrestrial ecosystems, remote sensing for terrestrial ecosystems, ground-based sensors for terrestrial ecosystem protection",Intelligence,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,,,,X,X,,,,X,
Health,Infrastructure,Healthcare Facilities and Products,Healthcare Facilities,Healthcare Facilities Risk Hardening,"decentralized energy systems and backup power for healthcare facilities, emergency water storage tanks for healthcare facilities, local sourcing agreements for healthcare facilities, air filtration and purification systems for healthcare facilities, disaster-resilient building materials for healthcare facilities",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,
Health,Industry and Commerce,Healthcare Facilities and Products,Healthcare Products,Medical Products and Technologies Risk Hardening,"climate-resilient medical equipment and devices, temperature-stable pharmaceutical formulations, disaster-resilient telemedicine equipment",Product or Service,Medium,No,Not Applicable,Yes,No,No ,Not Applicable,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,
Health,Social Systems,Healthcare Services,Delivery of Treatment and Care,Communicable Diseases Treatment and Care,"vector-borne disease vaccines and treatments, long-lasting insecticidal nets, prophylactic treatments and preventative therapies",Product or Service,Low,No,Not Applicable,Yes,Yes,No,Not Applicable,X,,,,X,,,,X,,X,X,,X,X,X,X
Health,Social Systems,Healthcare Services,Delivery of Treatment and Care,Disease Monitoring & Alert,"real-time disease surveillance, remote sensing for disease prediction, geospatial disease tracking, automated outbreak detection, bio surveillance networks, wearable health monitoring devices, remote patient monitoring and alerts, drone-based disease surveillance, mobile apps for disease tracking",Intelligence,Low,No,Not Applicable,Yes,No,No,Not Applicable,X,,X,X,X,,,,X,,X,X,,X,X,X,
Health,Social Systems,Healthcare Services,Delivery of Treatment and Care,Health Workforce Risk Hardening,"climate-resilient healthcare worker transportation systems, emergency relocation services for health workforce during climate emergencies",Product or Service,Medium,No,Not Applicable,Yes,Yes,No,Not Applicable,X,X,X,X,X,X,X,,,,,X,,X,X,X,
Health,Social Systems,Healthcare Services,Delivery of Treatment and Care,Healthcare Access,"rural and remote healthcare outreach, virtual healthcare consultations, low-cost health insurance plans, deploying community health workers",Enabling Activity,Low,No,Not Applicable,Yes,Yes,No,Not Applicable,X,X,X,X,X,X,X,,,,,,,,,,
Health,Social Systems,Healthcare Services,Delivery of Treatment and Care,Healthcare Training,"community education on climate adaptive medications and practices, emergency preparedness and response training, training on climate-sensitive disease management, climate-aware reproductive health training",Enabling Activity,Low,No,Not Applicable,Yes,Yes,No,Not Applicable,X,X,X,X,X,X,X,,,,,X,,,X,X,
Health,Social Systems,Healthcare Services,Delivery of Treatment and Care,Mental Health Treatment and Care,"treatments for climate-induced mental health issues, climate anxiety and eco-anxiety interventions",Product or Service,High,No,Not Applicable,Yes,No,No,Not Applicable,X,X,X,X,X,X,X,,,,,,,,X,X,X
Health,Social Systems,Healthcare Services,Delivery of Treatment and Care,Non-Communicable Diseases Treatment and Care,"high-quality air filtration for climate-induced air pollution, management of heat-related Illnesses, cooling treatments for heat-related illnesses",Product or Service,Low,No,Not Applicable,Yes,No,No,Not Applicable,X,X,X,,,,X,,X,X,X,X,X,X,X,X,X
Health,Social Systems,Healthcare Services,Emergency Health Services,Management of Mortality from Acute Weather Events,"mobile medical equipment and units for acute weather events, health emergency monitoring solutions for acute weather events, remote medical consultations for acute weather events, rapid response medical teams for acute weather events, advanced trauma care and triage for acute weather events",Product or Service,High,No,Not Applicable,Yes,No,No,Not Applicable,X,X,,X,X,X,X,,,,X,X,,,X,X,
Health,Social Systems,Healthcare Services,Emergency Health Services,Management of Mortality from Chronic Climate Events,"rehydration units for chronic climate events, emergency preparedness kits for chronic climate events, emergency food and water distribution for chronic climate events",Product or Service,High,No,Not Applicable,Yes,No,No,Not Applicable,X,X,X,,,,,,,,X,X,,,X,X,
Health,Social Systems,Policy & Capacity Building,Policy & Capacity Building,Health Policy & Capacity Building,"resilient health infrastructure development planning, climate-health policy funding",Enabling Activity,Low,No,Not Applicable,Yes,Yes,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,,,,
Industry and Commerce,Not Applicable,Commercial Trade,Retail Trade,Retail Trade Risk Hardening,"multi-supplier sourcing for retail trade, local sourcing initiatives for retail trade, climate-resilient retail inventory storage",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,
Industry and Commerce,Not Applicable,Commercial Trade,Wholesale Trade,Wholesale Trade Risk Hardening,"multiple sourcing agreements for wholesale trade, alternative transportation routes for wholesale trade, resilient warehousing and storage for wholesale trade",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,
Industry and Commerce,Infrastructure,Construction,Construction Materials,Climate Resilient Construction Materials,"high absorption construction materials, flood-resistant building materials, fire-retardant treated wood, cool roofing materials, wind-resistant sheathing, solar-reflective materials, water-resistant gypsum board, waterproof wall panels",Product or Service,High,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,,X,X,,,X,X,
Industry and Commerce,Infrastructure,Construction,Construction Processes,Construction Processes Risk Hardening,"protective equipment for construction works, onsite cooling devices for construction workers, prefabricated construction",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Industry and Commerce,Social Systems,Financial Services,Asset and Investment Management,Asset and Investment Management Risk Hardening,"climate stress testing for asset and investment managers, transparent climate-risk reporting and disclosure for asset and investment managers",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,X,,,X,X,,,
Industry and Commerce,Social Systems,Financial Services,Banking Services,Banking Services Risk Hardening,"digital banking platforms, remote customer service solutions for banking services, energy resilience for branches and ATMs",Product or Service,Low,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,,,,,,,,
Industry and Commerce,Social Systems,Financial Services,Financial Access,Payment Services,"mobile payment services, remittance services, financial inclusion programs, climate-responsive crypto, digital payment resilience in emergencies, climate-resilient remittance corridors",Enabling Activity,Medium,No,Not Applicable,No,Yes,No,Not Applicable,,,,X,X,,X,,X,,X,,,,X,X,
Industry and Commerce,Ecosystems,Forestry & Logging,Commercial Timber Production,Commercial Timber Production Risk Hardening,"diversified species planting for timber production, fire-resistant infrastructure for timber production, drought-resistant tree species for timber production",Product or Service,Medium,Yes,9[SH]: Inhibiting Protection of Biodiversity and Ecosystems,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,,X,X,,,X,X,
Industry and Commerce,Ecosystems,Hospitality,Leisure,Resilient Leisure Infrastructure & Offerings,"climate-resistant recreational facilities, weather-adaptive leisure facilities, water-saving technologies in pools and spas, drought-resistant turf, resilient trail systems",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,,,,,,X,,X,X,,,X,X,X
Industry and Commerce,Ecosystems,Hospitality,Tourism,Resilient Tourism Infrastructure & Offerings,"climate-resilient accommodation for tourism, sustainable transport infrastructure for tourism, eco-friendly resorts and hotels, weather-adaptive tourist attractions, fire-resistant camping areas, sustainable procurement practices for tourism",Product or Service,Medium,Yes,5[SH]: Inhibiting Climate Change Mitigation,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X
Industry and Commerce,Agri-Food Systems,Logistics Services,Logistics Information Management,Industrial Logistics Information Management Risk Hardening,resilient IT infrastructure for industrial logistics information management,Product or Service,Medium,No,Not Applicable,Yes,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,X,,,,,X,X,
Industry and Commerce,Agri-Food Systems,Logistics Services,Warehousing & Storage,Industrial Warehousing & Storage Risk Hardening,"fire protection for stored goods, flood-proofing warehouse facilities, temperature and humidity control in storage areas, real-time environmental monitoring in warehouses, uninterruptible power supplies (UPS) for critical warehousing systems",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Industry and Commerce,Social Systems,Manufacturing,Discrete Manufacturing,Aerospace and Defense Manufacturing Risk Hardening,"temperature and humidity control in precision manufacturing for aerospace and defense, flood-proofing aerospace facilities, resilient power and energy systems for aerospace manufacturing, fireproof storage for high-value aerospace components, sourcing corrosion-resistant metals for aircraft and defense systems",Product or Service,Low,Yes,4[M]: Inhibiting Necessary Change,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,
Industry and Commerce,Agri-Food Systems,Manufacturing,Discrete Manufacturing,Automotive Manufacturing Risk Hardening,"climate-resistant automotive manufacturing facilities, fire protection in automotive manufacturing, temperature and humidity control in automotive production, flood-proofing automotive plants",Product or Service,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,,,,X,X,X,
