CVC Name,Website,CVC Description,Company,Country,unmatched_flag,canonical_company,match_company,category
Airbus Ventures,http://www.airbusventures.vc,"Airbus Ventures sits within Airbus’s innovation ecosystem and operates as an independently managed early-stage investor backing startups that can redefine aerospace while generating business value for both Airbus and its portfolio companies; it is headquartered in Silicon Valley with offices in Paris and Tokyo.

Priority investment topics span autonomy, electrification, industrial efficiency, advanced materials, new space, and security applications across the aerospace value chain.

The team co-invests alongside top-tier venture firms with rigorous diligence that mitigates risk and accelerates execution outcomes for its companies, creating relevant business value for both sides of the partnership. Representative portfolio investments include in-space transportation specialist Impulse Space and hypersonic mobility developer Venus Aerospace, underscoring its emphasis on next-generation aerospace systems.",Airbus,France,,,Airbus,Industrial Decarbonization
Alaska Star Ventures,https://news.alaskaair.com,"Alaska Airlines created Alaska Star Ventures to accelerate emerging aviation technologies that drive the carrier toward its 2040 net-zero carbon objective, embedding the fund within a broader sustainability roadmap that spans fleet, operations, fuels, waste, and electrification priorities.

ASV concentrates on strategic themes including low-emission aircraft platforms, operational AI, and advanced training systems, reflected in backing JetZero’s blended wing body design, Assaia’s ramp-optimization software, and Loft Dynamics’ extended-reality simulators.

The unit differentiates itself by pairing capital with Alaska’s assets. For example, tying JetZero funding to future aircraft options, delivering airport-operations guidance through Assaia’s partner community, and lending flight-training experts to co-develop Loft’s Boeing 737 VR simulator, giving portfolio companies hands-on access to airline-scale testbeds and know-how.",Alaska Airlines,United States,,"Alaska Air Group, Inc.","Alaska Air Group, Inc.","Mobility & Logistics, Carbon Management & Markets"
Albion Capital Group LLP,https://www.albion.vc,"Albion Capital Group LLP operates AlbionVC as its technology investment arm, backing visionary founders and technologies with long-term capital from its London base.

The firm focuses its venture allocations on deeptech innovations spanning hardware and physical sciences, software with enduring structural growth, healthtech and life sciences, and infrastructure that reshapes essential systems.

AlbionVC differentiates by coupling long-term capital and scale-up expertise with founder resources covering hiring, leadership, and scaling toolkits, while highlighting portfolio companies such as Booking.com, Quantexa, and Oviva to illustrate the kinds of category-defining businesses it supports.",Albion Capital Group LLP,United Kingdom,,,Albion Capital Group LLP,Mobility & Logistics
Alexandria Venture Investments,https://www.are.com/venture-investments.html,"Alexandria Venture Investments is the strategic venture capital platform of Alexandria Real Estate Equities, Inc., investing since 1996 in seed, early, and growth-stage life science companies that are advancing transformative modalities and platforms to improve human health. The platform also prioritizes agrifoodtech and climate innovations that bolster nutrition and resilience in line with Alexandria’s mission to enhance human health.

The firm leverages Alexandria LaunchLabs to provide select members with capital alongside access to the parent’s specialized cluster infrastructure and strategic networks, and highlights agrifoodtech investments such as Atomo, Mori, and Umaro Foods as beneficiaries of this integrated support.",Alexandria Real Estate Equities,United States,1.0,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc.","Food, Ag & Bioeconomy"
Aliaxis Next,https://aliaxis.com/aliaxis-next-tackling-key-water-challenges/,"Aliaxis Next is the corporate venture unit of Aliaxis, designed to grow adjacent businesses with positive societal impact in smarter water management while leveraging the parent’s global fluid management platform to address water challenges at scale.

It prioritizes sustainable water management, resilient water infrastructure, access to water, and water for food, aiming to deploy technologies that curb leakage and strengthen water distribution systems.

The team backs innovators such as HydroPoint and Aquarius Spectrum, offering strategic minority capital plus access to Aliaxis’ market reach and operational expertise to help portfolio companies expand into new geographies and deliver data-driven water efficiency solutions.",Aliaxis,Belgium,,,Aliaxis,"Energy & Grid, Circular Economy, Mobility & Logistics"
Allianz France,https://www.allianz.fr/qui-est-allianz/nous-connaitre/allianz-innove/corporate-venture-capital.html,"Allianz France operates the InnovAllianz corporate venture fund to finance startups that disrupt insurance markets through minority stakes, aligning with its strategy of supporting innovation that enhances customer protection.

The fund prioritizes companies advancing customer experience, sharing-economy services, fintech and insurtech models, connected health, cybersecurity, big data, and other new digital uses that can be embedded into Allianz offerings.

InnovAllianz extends Allianz France's accelerator, innovathons, and partnerships to supply operational support, including piloting solutions with employees before integrating them into benefits programs; illustrative investments include SmartAngels, Semji, and Poppins.",Allianz,Germany,,,Allianz,
Allianz X,https://www.allianzx.com,"Allianz X is the strategic growth investments arm of Allianz Group, targeting late-stage digital growth companies to keep the insurer and asset manager at the forefront of financial services through high-conviction, value-creating partnerships.

The unit concentrates on insurtech and fintech scale-ups with complementary business models, backing digital frontrunners in ecosystems relevant to insurance and asset management; it evaluates late- and growth-stage companies that already run proven stand-alone models and can collaborate with Allianz businesses. Allianz X connects, facilitates, and builds platforms to forge unique partnerships between its portfolio and Allianz operating entities, creating win-win collaborations that unlock value across the Group.

Representative holdings include Coalition, which combines cyber insurance with proactive security tools, Ualá, a Latin American digital bank expanding a comprehensive financial ecosystem, and Pie Insurance, a data-driven workers’ compensation platform for small businesses, illustrating its focus on digitally powered financial services aligned with Allianz’s core domains.",Allianz Group,Germany,,,Allianz Group,Mobility & Logistics
Allstate Strategic Ventures,https://www.allstatecorporation.com/strategic-ventures.aspx,"Allstate Strategic Ventures (ASV) is the corporate venture arm of The Allstate Corporation, investing in entrepreneurs whose disruptive technologies—from insurtech and fintech to mobility, deep tech, and climate solutions—can advance insurance and adjacent markets across the U.S., Canada, and Europe.

ASV deploys capital through a multi-fund structure: Fund I targets Series A and later companies poised for near-term commercial engagement, Fund II backs seed through later-stage startups aligned with insurance transformation even without immediate pilots, and Fund III scans emerging global trends to inform Allstate’s future positioning.

Startups gain more than funding through access to Allstate’s strategic customer base, hands-on business expertise to refine use cases, patient partnership, and streamlined connections to internal teams that can accelerate paths to pilots and scaled deployment.",Allstate,United States,,,Allstate,"Mobility & Logistics, Digital Climate Infrastructure"
GV,https://www.gv.com/,"GV is the corporate venture capital arm of Alphabet, operating as an independent venture firm with a single limited partner to back founders across stages.

The firm currently concentrates on AI-native opportunities ranging from application-layer agents to healthcare, developer tools and security, and infrastructure such as photonic computing platforms. GV supports portfolio companies via operating partners in executive talent, design, communications, and marketing, and by opening access to Alphabet and Google resources while maintaining strategic independence. Representative investments cited by GV include Lightmatter, Harvey, Synthesia, and Snorkel.",Alphabet,United States,,,Alphabet,"Energy & Grid, Building Efficiency & Electrification"
Amadeus Ventures,http://www.amadeus.com,"Amadeus Ventures is the strategic venture arm of global travel technology company Amadeus, created to back early-stage startups at the intersection of travel and technology that directly or indirectly enhance the traveler experience while coupling investment with industry expertise, technology access, and customer reach.

Recent deployments highlight its focus areas: automating hospitality operations via AI-led group sales platform hivr.ai, equipping travelers with climate-action choices through CHOOOSE, advancing secure digital identity journeys with Airside, and digitizing VAT refunds through Refundit to remove friction across itineraries.

Beyond capital, the program gives portfolio companies access to Amadeus’ global network, industry know-how, and technology stack, and it has already introduced more than 150 startups into the business and co-developed over 20 joint projects to scale innovations across the travel ecosystem.",Amadeus IT Group,Spain,,,Amadeus IT Group,
Amazon Industrial Innovation Fund,https://industrialinnovationfund.amazon/,"Amazon Industrial Innovation Fund is Amazon’s $1 billion program dedicated to scaling innovations that improve fulfillment, logistics, and supply chain operations while elevating employee and customer experiences.

It targets startups advancing robotics, AI- and computer-vision-enabled automation, inventory visibility, and middle- and first-mile technologies that accelerate delivery speed and workplace safety.

Through global Innovation Challenges and similar programs, the fund offers founders collaboration with Amazon experts, access to resources, and potential pathways to pilot and commercialize solutions within Amazon; portfolio examples include Agility Robotics, Instock, and Rightbot.",Amazon,United States,,,Amazon,"Industrial Decarbonization, Mobility & Logistics"
Amazon The Climate Pledge Fund,https://fund.theclimatepledge.com/us/en,"Amazon's Climate Pledge Fund is Amazon's corporate venture program investing in companies that accelerate Amazon and other Climate Pledge signatories’ progress toward net-zero carbon emissions by 2040. It targets startups across transportation and logistics; energy generation, storage and utilization; buildings; manufacturing and materials; circular economy; food and agriculture; carbon removal; and water solutions.

Amazon pairs investment with operational pilots, integrating Climate Pledge Fund companies into areas like electric vehicle charging, greenhouse agriculture, AI-enabled recycling, and merchandising Hippo Harvest produce through Amazon Fresh to help founders reach scale. The fund also runs a Female Founder Initiative with USAID, committing Climate Pledge Fund capital to women-led climate tech startups and partnering with incubators such as Greentown Labs and Elemental Excelerator to broaden access to networks and technical skills. Recent investments in Molg, Paebbl, and 14Trees showcase focus on circular electronics reuse, carbon-storing building materials, and lower-carbon construction ecosystems.",Amazon,United States,,,Amazon,"Carbon Management & Markets, Digital Climate Infrastructure"
Amcor,https://www.amcor.com/about/ventures,"Amcor Corporate Venturing and Open Innovation is the corporate venture arm of Amcor plc, investing in innovative packaging businesses to drive long-term growth and more sustainable packaging solutions alongside the parent’s global packaging operations.

The unit prioritizes themes such as sustainable materials and circular economy applications, advanced substrates and barrier technologies, digital packaging solutions, fiber-based innovations, and high-barrier applications that open new business models.

Through the Amcor Lift-Off program and direct venturing, startups receive flexible funding plus access to Amcor’s R&D resources, manufacturing capabilities, and customer and supplier networks to pilot and scale technologies; recent collaborations include Nfinite Nanotech for compostable nanocoatings, Bloom Biorenewables for plant-based packaging polymers, and PulPac for industrial fiber molding.",Amcor,Australia,,,Amcor,"Circular Economy, Mobility & Logistics"
AMD Ventures,https://www.amd.com/en/ventures.html,"AMD Ventures is the corporate venture arm of Advanced Micro Devices (AMD) that partners with startups aligning to AMD’s strategic markets to accelerate innovation in pervasive AI and next-generation data center technologies.

Its investment priorities span Pervasive AI—including generative and agentic AI, horizontal AI platforms, vertical applications in areas like life sciences and financial services, and GPU cloud infrastructure—and Data Center Technologies such as infrastructure optimization, silicon photonics and interconnect, core advances like cooling and advanced packaging, and emerging compute architectures.

Portfolio companies gain access to AMD’s multi-domain technical experts, collaboration opportunities with AMD partners and fellow startups, inclusion in marketing and PR initiatives, and a long-term strategic investor relationship, with representative investments including Cohere, Hugging Face, and Ethernovia.",AMD,United States,,,AMD,Mobility & Logistics
Amdocs Venture,https://www.amdocs.com/ventures,"Amdocs Venture is the corporate venture arm of Amdocs, deploying capital at the horizon of the parent’s strategy to back disruptive technologies that advance communications and media markets.

Its portfolio signals emphasis on digital customer engagement platforms, AI-driven data security and analytics, autonomous network operations, and vertical applications such as virtual-first healthcare that align with carrier and enterprise transformation needs.

The team offers startups access to Amdocs’ market, technology leaders, and scale knowledge, with founders crediting hands-on support in sharpening offerings and accelerating growth; representative investments include Element, Firefly Health, Sea Street, and Neural Magic.",Amdocs,Israel,,,Amdocs,Mobility & Logistics
American Express Ventures,https://www.americanexpress.com/us/business/american-express-ventures/,"American Express Ventures is the venture arm of American Express, investing in startups that enhance experiences for consumers and businesses while leveraging the parent company's global services infrastructure to scale innovative commerce and payments solutions.

It targets opportunities across consumer commerce platforms, mobile and digital payments, marketplaces, business payments and operations tools, supply chain analytics, and enterprise capabilities such as AI-driven automation, identity, risk management, cybersecurity, and data infrastructure, while also pursuing frontier technologies including spatial computing and blockchain innovations alongside current priorities in consumer services, generative and agentic AI, and new forms of commerce.

The team supports founders with access to American Express's global network, collaborations with its business units, and opportunities to co-develop pilots, and it spotlights portfolio companies such as Mindtrip, BILT, and Galileo that align with these strategic partnerships.",American Express,United States,,,American Express,
American Family Ventures,https://www.amfamventures.com/,"American Family Ventures is the direct venture capital arm of American Family Insurance, created to invest in emerging technology companies that help proactively protect the insurer's policyholders while shaping the future of insurance. It backs innovation from incubation to growth across insurance product lines, adjacent vertical markets, and enabling technologies where startups can transform risk products.

Founders gain access to an advisory network that provides strategic guidance, connections, and coaching to help them solve challenges and unlock growth alongside the broader carrier ecosystem. Representative portfolio companies include Alix's estate-settlement automation platform, Boundless Rider's specialty vehicle coverage, and Branch's full-stack home and auto insurer.",American Family Insurance,United States,1.0,"American Family Mutual Insurance Company, S.I.","American Family Mutual Insurance Company, S.I.",
ADVentures,https://www.analog.com,"Analog Devices' ADVentures is the corporate venture capital arm of Analog Devices, created in 2025 to identify and back emerging innovations that can shape new frontiers of impact while extending the parent company's semiconductor leadership.

The fund targets startups globally across three critical domains—Advanced Systems & Robotics, Climate & Energy, and Human Health—and looks for solutions featuring new sensing modalities, novel computing architectures, secure connectivity, and artificial intelligence capabilities.

ADVentures emphasizes collaborations where startups can draw on Analog Devices' deep domain expertise and global ecosystem, leveraging access to engineering know-how and market channels to accelerate transformative solutions.",Analog Devices,United States,,,Analog Devices,Mobility & Logistics
Decarbonisation Ventures,https://www.angloamerican.com/products/marketing-materials-solutions-for-our-customers/decarbonisation-ventures,"Anglo American’s Decarbonisation Ventures backs climate-positive innovations that help the miner deliver on its goal of operational carbon neutrality by 2040 and halve Scope 3 emissions by 2040, aligning venture investing with the parent’s broader Sustainable Mining Plan.

The unit targets hard-to-abate value chains such as steel, seeking startups that can upgrade direct-reduced iron feedstocks, retool sintering and induration, deploy next-generation furnace routes, enable higher scrap utilisation, and commercialise carbon capture or recycling solutions that materially cut emissions at scale.

Beyond capital, shortlisted ventures gain access to Anglo American’s technical and commercial experts for pilot design and market entry, and the portfolio already includes collaborators such as Mission Zero Technologies in direct air capture and HET Hydrogen’s megawatt-scale electrolyser platform, illustrating how the CVC pairs strategic assets with scale-up partners.",Anglo American,United Kingdom,,,Anglo American,
ZX Ventures,https://www.zx-ventures.com/,"ZX Ventures is the global investment and innovation group of AB InBev, mandated to seed, launch, and scale new products that deliver exceptional consumer experiences in partnership with founders and business builders, including biotech collaborators such as EverGrain and BioBrew.

Its investment agenda targets future-facing beverages and consumer propositions, omnichannel and direct-to-consumer adjacencies, and sustainable ingredient platforms—areas reflected in dedicated teams for adjacencies and omnichannel and in launches like Babe Wine, Cutwater Spirits, Mike’s Hard Sparkling Water, Beats GT, and Blasfemia.

The fund supports ventures with its Venture OS to guide companies from seed through scale and with programs such as Zxlerator that connect startups to AB InBev’s global resources, producing portfolio wins including Babe Wine and Cutwater Spirits that are integrated and scaled across the parent’s footprint.",Anheuser-Busch Inbev,Belgium,,,Anheuser-Busch Inbev,
1835i,https://www.1835i.com/,"1835i is ANZ Bank's external innovation and investment partner, mandated to build, partner with, and invest in ventures that push the boundaries of banking to deliver strategic value for the bank, its customers, and wider communities.

The team targets startups helping people navigate home ownership, supporting small and medium businesses, enabling the movement of capital, goods, and services, and transforming enterprises through data, analytics, and digital technologies; through its Creation Lab and venture arm it goes beyond capital by linking founders to ANZ relationships and customer access to accelerate growth and de-risk new propositions.

Illustrative holdings such as Airwallex, Lendi, Slyp, and Valiant show how 1835i backs emerging fintech leaders aligned with ANZ's strategic priorities.",ANZ Bank,Australia,,,ANZ,
Applied Ventures,http://appliedventures.com/,"Applied Ventures, the venture unit of Applied Materials, backs early-stage technology companies that extend the parent’s materials engineering leadership across semiconductors, displays, and adjacent markets to help open new growth opportunities for the core business.

The fund focuses on deep-technology plays across the materials-to-systems stack, supporting startups advancing smartphones and connected devices, augmented and virtual reality, autonomous mobility, big data, life sciences, robotics, cleantech, and advanced materials.

Applied Ventures accelerates portfolio companies by offering access to its materials engineering breakthroughs, semiconductor know-how, global fab infrastructure, and introductions to customers, supply-chain partners, and co-investors; its portfolio has included innovators such as ClearEdge Power in fuel-cell systems and Solaicx in solar-grade silicon wafers.",Applied Materials,United States,,,Applied Materials,"Industrial Decarbonization, Digital Climate Infrastructure"
AC Ventures,https://www.arcacontal.com,"AC Ventures is Arca Continental’s corporate venture arm, investing in startups to generate strategic returns and link the bottler’s business and value-chain priorities with emerging technologies across the territories it serves.

Its investment verticals span creating new advantages in modern and traditional channels, enhancing specialized retail experiences, supporting sustainable models, transforming the supply chain, and evolving talent processes, guiding searches for solutions that reinforce Arca Continental’s core beverage and snacks operations.

AC Ventures emphasizes collaboration and co-creation with founders, using Arca Continental’s commercial ecosystem to pilot and scale technologies such as Sensify’s computer-vision platform that modernizes cooling equipment and point-of-sale execution across traditional trade outlets.",Arca Continental,Mexico,,,Arca Continental,"Mobility & Logistics, Digital Climate Infrastructure"
XCarb innovation fund,https://corporate.arcelormittal.com/media/press-releases/arcelormittal-launches-xcarb-innovation-fund,"ArcelorMittal's XCarb Innovation Fund is the corporate venture platform of the global steelmaker, created to invest in breakthrough technologies that can accelerate the transition of ArcelorMittal and the wider industry toward carbon-neutral steelmaking.

It focuses on seven technology domains: disruption in steelmaking processes and technologies; waste-to-gas or biocarbon; gas reforming and transformation; disruptive hydrogen solutions; carbon capture, utilisation and storage; long-duration, large-scale energy storage; and other clean energy technologies.

Beyond capital, the fund links startups with ArcelorMittal's industrial infrastructure, R&D teams, and potential pilot sites across its facilities to help scale commercial deployment. Portfolio examples span Heliogen's concentrated solar, Form Energy's multi-day storage, LanzaTech's carbon recycling, and H2Pro's green hydrogen electrolysis, illustrating the breadth of decarbonisation plays it backs.",ArcelorMittal,Luxembourg,,,ArcelorMittal,Mobility & Logistics
Asahi Kasei Ventures,https://www.asahikaseiventures.com/,"Asahi Kasei Corporation operates Asahi Kasei Corporate Venture Capital (Asahi Kasei Ventures) to back startups that create new long-term business opportunities and extend the parent’s Materials, Homes, and Healthcare businesses.

The unit invests globally across advanced materials, industrial and IoT solutions, energy and climate technologies, digital health, medical devices, therapeutics, and construction innovations, reflecting strategic themes that include carbon-neutral fields such as hydrogen, energy storage, carbon management, and bio-based chemicals within its Care for Earth initiative.

Asahi Kasei Ventures engages through joint developments with Asahi Kasei business divisions, building collaborations that can lead to strategic integrations, and its representative portfolio spans Circularise’s digital product passports, Mangrove Lithium’s refining technology, Plant Prefab’s modular housing systems, and Pulmocide’s inhaled antifungal therapeutics.",Asahi Kasei,Japan,,,Asahi Kasei,"Energy & Grid, Mobility & Logistics, Building Efficiency & Electrification"
ADB Ventures,https://ventures.adb.org,"ADB Ventures is the corporate venture arm of the Asian Development Bank, launched in 2020 to provide venture financing for early-stage technology companies that can scale solutions delivering climate and development impact across emerging Asia, with the long-term vision of mobilizing more than $1 billion in risk capital.

The fund targets startups building high-potential cleantech, sustainable agriculture, inclusive fintech, and healthtech innovations, combining initial investments of up to $4 million with SEED Capital+ grants of up to $200,000 to de-risk pilots; once invested, portfolio teams can plug into ADB’s safeguards, networks, and operational expertise to accelerate commercialization with regional partners.

Recent activity includes backing Vietnam’s Selex Smart Electric Vehicles to expand swapping-enabled electric two-wheelers for last-mile fleets, alongside earlier equity rounds for India’s Euler Motors and Smart Joules that advance sustainable logistics and energy-efficiency-as-a-service models in hospitals and commercial buildings.",Asian Development Bank (ADB),Philippines,,,Asian Development Bank (ADB),"Energy & Grid, Circular Economy, Mobility & Logistics"
